kepid,tce_plnt_num,pred_class,norm_kepid
002853280,01,0,002853280
002853280,02,0,002853280
002853280,03,0,002853280
002853280,04,0,002853280
002853280,05,0,002853280
002853320,01,0,002853320
002853320,02,0,002853320
002853320,03,0,002853320
002853320,04,0,002853320
002853446,01,1,002853446
002853780,01,1,002853780
002853828,01,0,002853828
002853828,02,0,002853828
002853889,01,0,002853889
002854181,01,1,002854181
002854181,02,1,002854181
002854698,01,1,002854698
002854698,02,1,002854698
002854914,01,1,002854914
002854914,02,1,002854914
002854927,01,0,002854927
002854948,01,0,002854948
002854953,01,0,002854953
002854953,02,0,002854953
002854953,03,0,002854953
002855415,01,0,002855415
002855603,01,0,002855603
002855603,02,0,002855603
002855680,01,0,002855680
002855680,02,0,002855680
002856756,01,0,002856756
002856756,02,0,002856756
002856756,03,0,002856756
002856960,01,1,002856960
002857323,01,0,002857323
002857323,02,0,002857323
002857607,01,1,002857607
002857722,01,0,002857722
002857722,02,0,002857722
002857722,03,0,002857722
002858134,01,0,002858134
002859299,01,0,002859299
002859299,02,0,002859299
002860114,01,0,002860114
002860594,01,0,002860594
002860594,02,0,002860594
002860594,03,0,002860594
002860594,04,0,002860594
002860656,01,1,002860656
002860788,01,1,002860788
002860793,01,0,002860793
002860793,02,0,002860793
002860851,01,0,002860851
002860851,02,0,002860851
002860866,01,1,002860866
002860930,01,0,002860930
002861126,01,1,002861126
002864938,01,0,002864938
002969628,01,0,002969628
002969628,02,0,002969628
002969628,03,0,002969628
002969638,01,0,002969638
002969638,02,0,002969638
002969991,01,0,002969991
002969991,02,0,002969991
002970670,01,1,002970670
002970804,01,0,002970804
002970804,02,0,002970804
002970836,01,0,002970836
002970836,02,0,002970836
002971415,01,0,002971415
002971415,02,0,002971415
002971415,03,0,002971415
002972005,01,0,002972005
002972005,02,0,002972005
002973386,01,1,002973386
002973509,01,0,002973509
002973509,02,0,002973509
002973800,01,0,002973800
002974815,01,0,002974815
002974858,01,0,002974858
002975770,01,1,002975770
002975770,02,0,002975770
002975832,01,0,002975832
002975832,02,0,002975832
002976017,01,1,002976017
002984505,01,0,002984505
002985022,01,0,002985022
002985022,02,0,002985022
002985022,03,0,002985022
002985054,01,0,002985054
002985396,01,0,002985396
002985396,02,0,002985396
002985398,01,0,002985398
002985398,02,0,002985398
002985587,01,1,002985587
002985767,01,1,002985767
002986506,01,0,002986506
002986833,01,1,002986833
002987027,01,1,002987027
002987433,01,1,002987433
002987660,01,0,002987660
002987660,02,0,002987660
002988145,01,0,002988145
002988145,02,0,002988145
002988145,03,0,002988145
002988768,01,0,002988768
002988783,01,0,002988783
002989404,01,1,002989404
002989404,02,1,002989404
002989706,01,1,002989706
002990873,01,1,002990873
002992648,01,0,002992648
002992648,02,0,002992648
002992648,03,0,002992648
002993038,01,0,002993038
002993589,01,0,002993589
002993589,02,0,002993589
002994092,01,1,002994092
002994888,01,0,002994888
002994888,02,0,002994888
002995392,01,1,002995392
002995823,01,0,002995823
002995823,02,0,002995823
002995931,01,0,002995931
002996015,01,0,002996015
002996015,02,0,002996015
002997178,01,0,002997178
002997455,01,0,002997455
002997455,02,0,002997455
002997459,01,1,002997459
002998070,01,0,002998070
002998070,02,0,002998070
002998124,01,0,002998124
002998124,02,0,002998124
002998561,01,0,002998561
002998561,02,0,002998561
003001885,01,0,003001885
003002336,01,0,003002336
003002478,01,1,003002478
003003019,01,0,003003019
003003991,01,0,003003991
003003992,01,0,003003992
003003992,02,1,003003992
003097346,01,0,003097346
003097352,01,0,003097352
003097352,02,0,003097352
003097912,01,0,003097912
003097912,02,0,003097912
003097926,01,1,003097926
003098015,01,0,003098015
003098015,02,0,003098015
003098015,03,0,003098015
003098184,01,0,003098184
003098184,02,0,003098184
003098184,03,0,003098184
003098184,04,0,003098184
003098184,05,0,003098184
003098194,01,0,003098194
003098194,02,0,003098194
003098194,03,0,003098194
003098194,04,0,003098194
003098197,01,0,003098197
003098197,02,0,003098197
003098605,01,1,003098605
003098810,01,1,003098810
003098843,01,0,003098843
003101178,01,1,003101178
003101923,01,1,003101923
003102000,01,0,003102000
003102000,02,0,003102000
003102024,01,0,003102024
003102024,02,0,003102024
003102384,01,1,003102384
003103212,01,1,003103212
003103227,01,1,003103227
003103473,01,1,003103473
003109550,01,1,003109550
003109924,01,0,003109924
003109930,01,1,003109930
003109937,01,0,003109937
003110937,01,0,003110937
003112129,01,1,003112129
003112129,02,0,003112129
003113266,01,0,003113266
003113266,02,0,003113266
003114167,01,1,003114167
003114661,01,0,003114661
003114667,01,0,003114667
003114811,01,1,003114811
003115272,01,0,003115272
003115435,01,0,003115435
003115480,01,0,003115480
003115728,01,0,003115728
003115728,02,0,003115728
003115728,03,0,003115728
003115833,01,1,003115833
003116412,01,1,003116412
003116989,01,0,003116989
003117510,01,0,003117510
003117510,02,0,003117510
003117511,01,0,003117511
003117511,02,0,003117511
003117514,01,0,003117514
003118797,01,1,003118797
003119256,01,1,003119256
003119256,02,0,003119256
003119256,03,0,003119256
003119307,01,0,003119307
003119307,02,0,003119307
003119604,01,0,003119604
003119604,02,0,003119604
003120057,01,0,003120057
003120057,02,0,003120057
003120057,03,0,003120057
003120276,01,0,003120276
003120308,01,0,003120308
003120320,01,0,003120320
003120355,01,1,003120355
003120397,01,0,003120397
003120431,01,0,003120431
003120650,01,0,003120650
003120889,01,0,003120889
003120889,02,0,003120889
003120889,03,0,003120889
003120904,01,1,003120904
003121340,01,0,003121340
003121407,01,0,003121407
003122188,01,0,003122188
003122188,02,0,003122188
003122872,01,1,003122872
003122913,01,1,003122913
003122985,01,0,003122985
003123418,01,0,003123418
003124598,01,0,003124598
003127817,01,0,003127817
003128325,01,0,003128325
003128325,02,0,003128325
003128552,01,1,003128552
003128552,02,1,003128552
003128552,03,1,003128552
003128793,01,1,003128793
003128853,01,0,003128853
003130300,01,0,003130300
003130548,01,0,003130548
003130548,02,0,003130548
003216518,01,0,003216518
003216518,02,0,003216518
003216518,03,0,003216518
003216838,01,0,003216838
003217264,01,1,003217264
003217264,02,1,003217264
003217264,03,1,003217264
003217554,01,0,003217554
003217554,02,0,003217554
003217554,03,0,003217554
003217554,04,0,003217554
003218308,01,0,003218308
003218637,01,0,003218637
003218688,01,0,003218688
003218908,01,1,003218908
003218908,02,1,003218908
003218908,03,1,003218908
003219037,01,1,003219037
003219037,02,1,003219037
003219256,01,0,003219256
003219256,02,0,003219256
003219643,01,1,003219643
003219995,01,1,003219995
003221077,01,0,003221077
003221272,01,0,003221272
003221310,01,0,003221310
003222104,01,0,003222104
003222183,01,0,003222183
003222183,02,0,003222183
003222183,03,0,003222183
003222680,01,0,003222680
003223460,01,0,003223460
003228740,01,0,003228740
003228804,01,0,003228804
003228824,01,0,003228824
003228825,01,0,003228825
003228918,01,0,003228918
003228945,01,0,003228945
003228959,01,0,003228959
003228959,02,0,003228959
003228986,01,0,003228986
003228988,01,0,003228988
003229028,01,0,003229028
003229150,01,1,003229150
003229150,02,1,003229150
003230206,01,0,003230206
003230227,01,1,003230227
003230227,02,0,003230227
003230578,01,0,003230578
003230578,02,0,003230578
003230578,03,0,003230578
003230578,04,0,003230578
003230753,01,0,003230753
003230787,01,1,003230787
003230805,01,1,003230805
003230805,02,1,003230805
003231120,01,0,003231120
003231120,02,0,003231120
003231137,01,0,003231137
003231137,02,0,003231137
003231341,01,1,003231341
003231341,02,1,003231341
003231341,03,1,003231341
003231341,04,1,003231341
003231406,01,0,003231406
003231406,02,0,003231406
003231406,03,0,003231406
003231406,04,0,003231406
003231410,01,0,003231410
003231410,02,0,003231410
003231410,03,0,003231410
003231950,01,0,003231950
003232859,01,0,003232859
003232859,02,0,003232859
003233043,01,0,003233043
003233043,02,0,003233043
003233302,01,0,003233302
003233302,02,0,003233302
003234598,01,1,003234598
003234598,02,1,003234598
003234843,01,1,003234843
003234843,02,1,003234843
003236705,01,1,003236705
003238010,01,0,003238010
003238059,01,0,003238059
003238073,01,0,003238073
003238073,02,0,003238073
003238245,01,0,003238245
003238245,02,0,003238245
003238686,01,0,003238686
003238787,01,0,003238787
003239171,01,1,003239171
003239636,01,0,003239636
003239671,01,1,003239671
003239926,01,0,003239926
003239945,01,1,003239945
003239945,02,0,003239945
003239945,03,1,003239945
003239945,04,1,003239945
003240049,01,1,003240049
003240158,01,1,003240158
003240158,02,1,003240158
003240158,03,1,003240158
003240159,01,1,003240159
003240231,01,0,003240231
003240231,02,0,003240231
003240406,01,0,003240406
003240406,02,0,003240406
003240411,01,0,003240411
003240411,02,0,003240411
003240411,03,0,003240411
003240556,01,0,003240556
003240556,02,0,003240556
003240556,03,0,003240556
003240556,04,0,003240556
003240556,05,0,003240556
003240706,01,0,003240706
003240706,02,0,003240706
